destino;codigo_aerolinea;id_vuelo;hora_programada;retraso;anio;mes;dia;hora;grados;velocidad_viento;rachas_viento;lluvia;nubes;humedad;presion
Amsterdam;KL;KL 1700;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Amsterdam;CZ;CZ 7716;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Amsterdam;DL;DL 9501;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Amsterdam;GA;GA 9014;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Amsterdam;MF;MF 9358;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Puerto del Rosario;FR;FR 5468;11.00;Si;2019;11;8;11.00;8;20;31;0;40;55;7
Ibiza;VY;VY 3419;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Ibiza;IB;IB 5408;11.00;No;2019;11;8;11.00;8;20;31;0;40;55;7
Lima;PU;PU 301;11.00;Si;2019;11;8;11.00;8;20;31;0;40;55;7
London;U2;U2 2202;11.10;No;2019;11;8;11.00;8;20;31;0;40;55;7
Beijing;CA;CA 908;11.10;No;2019;11;8;11.00;8;20;31;0;40;55;7
Tunis;TU;TU 607;11.10;Si;2019;11;8;11.00;8;20;31;0;40;55;7
Newark;UA;UA 50;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Newark;AC;AC 5855;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Newark;LH;LH 7971;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Newark;LX;LX 3068;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Las Palmas;I2;I2 3822;11.15;Si;2019;11;8;11.00;8;20;31;0;40;55;7
Las Palmas;AA;AA 8692;11.15;Si;2019;11;8;11.00;8;20;31;0;40;55;7
Las Palmas;IB;IB 3822;11.15;Si;2019;11;8;11.00;8;20;31;0;40;55;7
Melilla;IB;IB 8290;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Melilla;QR;QR 6591;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Tangier;YW;YW 8796;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Tangier;AA;AA 8520;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Tangier;BA;BA 7270;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Tangier;IB;IB 8796;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
Chalons-en-Champagne;YW;YW 8676;11.15;No;2019;11;8;11.00;8;20;31;0;40;55;7
